SPP,year,RDST,chan,code,tagdate,julian,WQMT ,PIT,Fate,,,fatereach,origin,reaches,rand,n,ttp,Tmean,Tstd,Tmax,Tmin,max-min,DD,n >=20,DDT20,% >=20
SP,2002,3711A,25,357,4/19/02,109,10,GRANDR,GrandeRonde,GRR,grr,8,SNRfish,0,0.342709748,1139,23.72916667,10.22,0.48,12.43,9.29,3.14,243,0,0.00,0.0
SP,2002,3718A,25,329,4/19/02,109,10,LGRRRR,Clearwater,LLC-CWR,llc,8,SNRfish,0,0.070160314,899,18.72916667,10.18,0.42,11.88,9.28,2.60,191,0,0.00,0.0
SP,2002,3725A,25,388,4/22/02,112,10,LOOKGC,GrandeRonde,GRR,grr,8,SNRfish,0,0.829452741,1199,24.97916667,10.58,0.51,12.54,9.80,2.74,264,0,0.00,0.0
SP,2002,3726A,25,460,5/22/02,142,13,BONAFF,Salmon,SFS,sfs,8,SNRfish,0,0.104532164,750,15.625,13.16,0.58,14.88,11.74,3.14,206,0,0.00,0.0
SP,2002,3733A,24,357,4/30/02,120,10.3,LGRRRR,Clearwater,LLC-CWR,llc,8,SNRfish,0,0.232732941,1004,20.91666667,11.21,0.68,13.47,10.11,3.36,234,0,0.00,0.0
SP,2002,3761A,25,400,5/27/02,147,13.7,LGRRRR,Salmon,SFS,sfs,8,SNRfish,0,0.375715331,868,18.08333333,13.83,0.68,15.74,11.77,3.97,250,0,0.00,0.0
SP,2002,3771A,25,401,4/12/02,102,8.8,BONAFF,Clearwater,NFC,nfc,8,SNRfish,0,0.952282344,1467,30.5625,10.04,0.51,11.91,9.09,2.82,307,0,0.00,0.0
SP,2002,3777A,25,345,4/11/02,101,8.6,LGRRRR,Clearwater,LOC,loc,8,SNRfish,0,0.9590549,1088,22.66666667,9.90,0.55,12.86,8.77,4.09,224,0,0.00,0.0
SP,2002,3781A,24,362,5/7/02,127,10.3,BONAFF,Salmon,SFS,sfs,8,SNRfish,0,0.771595809,616,12.83333333,11.43,0.56,14.64,10.40,4.24,147,0,0.00,0.0
SP,2002,3787A,25,315,5/22/02,142,13,LGRRRR,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.023935544,915,19.0625,13.80,0.47,17.16,12.74,4.42,263,0,0.00,0.0
SP,2002,3789A,24,377,4/25/02,115,9.9,LGRRRR,GrandeRonde,GRR,grr,8,SNRfish,0,0.371363555,1187,24.72916667,10.91,0.66,13.44,9.85,3.59,270,0,0.00,0.0
SP,2002,3798A,25,386,4/17/02,107,9.7,CLEARC,Clearwater,CWR,cwr,8,SNRfish,0,0.882597444,951,19.8125,9.96,0.52,11.43,8.57,2.86,197,0,0.00,0.0
